Player,season,cluster_kmeans,archetype,silhouette_val,PC1,PC2,PER,TS_pct,BPM,VORP,ast_pct,reb_pct,blk_pct,stl_pct,tov_pct
A.J. Green,2023,2,Defensive Anchor,0.3420386359734933,-0.7142390654671907,-0.45736987505894905,11.5,0.607,-0.9,0.1,8.7,6.8,0.0,0.8,6.6
A.J. Green,2024,2,Defensive Anchor,0.27747069627582804,-1.0480754017471594,-0.920986262132131,10.5,0.617,-2.1,0.0,6.4,5.7,0.6,0.7,5.5
A.J. Hammons,2017,4,Stretch Big,0.08915640172258786,-1.6803483872419305,-3.374425713157272,8.4,0.472,-6.6,-0.2,3.8,12.8,7.2,0.3,16.4
A.J. Lawson,2024,4,Stretch Big,0.1417693959978898,-1.7430590410363536,-0.2966968981294189,11.2,0.519,-4.6,-0.2,8.9,8.8,0.8,1.5,9.6
AJ Griffin,2023,2,Defensive Anchor,0.3788042129105882,-0.5358005996482142,-0.16154818809017688,12.6,0.577,-0.8,0.4,7.0,6.0,0.7,1.4,7.1
AJ Griffin,2024,4,Stretch Big,0.28162835160892047,-5.077637791355488,-0.9890741798116163,1.2,0.382,-9.6,-0.3,3.7,5.7,1.1,0.3,11.3
Aaron Brooks,2016,3,Playmaking Guard,0.25027657052530616,-1.4251890324850471,1.6308885519285203,11.8,0.494,-2.6,-0.2,26.0,4.8,0.7,1.4,14.2
Aaron Brooks,2017,3,Playmaking Guard,0.09937275207745988,-1.9705276063084671,1.2045723193597855,9.5,0.507,-3.7,-0.4,20.7,4.3,0.9,1.4,17.2
Aaron Brooks,2018,4,Stretch Big,0.186262924905585,-2.0051984299084067,1.004934520600631,9.8,0.508,-3.8,-0.1,15.1,5.2,0.0,1.6,13.0
Aaron Gordon,2016,5,Utility Bench,-0.12049327359376737,1.3727106010467622,-0.6626680402558519,17.0,0.541,1.0,1.4,10.3,15.1,2.4,1.6,9.0
Aaron Gordon,2017,2,Defensive Anchor,0.34571552181465065,-0.17746826428426205,-0.21286404924894445,14.5,0.53,-1.0,0.6,10.5,9.6,1.4,1.4,8.5
Aaron Gordon,2018,2,Defensive Anchor,0.16462892977233715,0.8184812766412877,-0.3206510141873068,16.5,0.53,0.3,1.1,11.7,13.2,1.9,1.5,10.0
Aaron Gordon,2019,2,Defensive Anchor,0.22573640669288356,0.932560909586642,0.14694471002716514,15.1,0.538,0.6,1.7,16.6,11.7,1.8,1.1,12.3
Aaron Gordon,2020,2,Defensive Anchor,0.24204770516154775,0.48305873841906855,0.03155731007746946,15.1,0.516,0.0,1.0,17.4,12.7,1.7,1.2,10.4
Aaron Gordon,2021,2,Defensive Anchor,0.13674438641068337,0.5257144961593078,0.03288780731281465,14.5,0.547,0.1,0.7,17.8,11.1,2.3,1.2,14.7
