Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
LeBron James,PF,33.0,82.0,3026.0,28.6,0.621,44.4,13.1,2.0,1.9,16.1,31.6,11.0,3.0,14.0,0.221,7.3,1.4,8.7,8.2,2018
Khris Middleton,SF,26.0,82.0,2982.0,17.4,0.577,17.7,8.4,0.6,2.0,11.8,24.6,4.6,2.3,6.9,0.111,0.8,-0.8,0.0,1.5,2018
Andrew Wiggins,SF,22.0,82.0,2979.0,13.0,0.505,8.2,6.9,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.033,-0.8,-1.7,-2.4,-0.3,2018
Bradley Beal,SG,24.0,82.0,2977.0,18.4,0.564,21.0,6.9,1.1,1.6,11.5,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1,2018
Jrue Holiday,SG,27.0,81.0,2927.0,17.8,0.57,24.9,6.8,1.7,2.0,13.6,23.1,4.2,2.9,7.1,0.116,1.3,0.3,1.6,2.7,2018
CJ McCollum,SG,26.0,81.0,2923.0,16.9,0.536,15.8,6.0,1.0,1.3,8.6,26.5,3.7,2.9,6.6,0.108,1.8,-0.5,1.2,2.4,2018
Karl-Anthony Towns,C,22.0,82.0,2918.0,24.9,0.646,10.8,20.0,3.5,1.1,10.5,22.9,10.6,3.4,14.0,0.23,4.9,0.2,5.1,5.2,2018
Russell Westbrook,PG,29.0,80.0,2914.0,24.7,0.524,49.8,15.3,0.6,2.5,16.4,34.1,5.5,4.5,10.1,0.166,4.8,1.5,6.3,6.1,2018
Paul George,SF,27.0,79.0,2891.0,18.7,0.57,14.5,8.6,1.2,2.8,12.2,25.7,5.0,3.9,8.9,0.147,2.3,0.6,2.9,3.6,2018
Giannis Antetokounmpo,PF,23.0,75.0,2756.0,27.3,0.598,23.7,16.0,3.3,2.0,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,2018
Kemba Walker,PG,27.0,80.0,2736.0,20.6,0.572,27.4,4.9,0.7,1.6,10.4,27.4,6.5,2.0,8.6,0.15,4.7,-0.7,4.0,4.2,2018
Ben Simmons,PG,21.0,81.0,2732.0,20.0,0.557,37.4,13.0,2.1,2.5,19.5,22.3,4.2,5.0,9.2,0.162,2.0,2.5,4.5,4.5,2018
Anthony Davis,PF,24.0,75.0,2727.0,28.9,0.612,10.8,16.5,5.6,2.0,8.6,30.0,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9,2018
Taj Gibson,PF,32.0,82.0,2726.0,15.4,0.61,5.2,12.4,1.9,1.1,9.8,14.7,5.4,1.7,7.2,0.126,0.1,-0.7,-0.5,1.0,2018
DeMar DeRozan,SG,28.0,80.0,2711.0,21.0,0.555,25.0,6.5,0.6,1.5,9.5,29.6,6.8,2.8,9.6,0.17,3.3,-0.6,2.8,3.2,2018
Josh Richardson,SF,24.0,81.0,2689.0,13.6,0.551,13.2,6.0,2.4,2.3,12.9,18.2,1.8,3.5,5.4,0.096,-0.6,1.3,0.7,1.8,2018
Will Barton,SG,27.0,81.0,2683.0,16.2,0.562,18.5,8.6,1.6,1.5,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1,2018
