Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Julius Randle,PF,26.0,71.0,2667.0,19.7,0.567,27.2,14.7,0.6,1.2,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9,2021
RJ Barrett,SG,20.0,72.0,2511.0,13.4,0.535,13.8,8.9,0.8,1.1,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,2021
Nikola Jokić,C,25.0,72.0,2488.0,31.3,0.647,40.4,17.8,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,2021
Buddy Hield,SG,28.0,71.0,2433.0,12.8,0.567,14.7,7.6,1.0,1.2,11.1,20.7,1.5,0.7,2.2,0.044,1.0,-1.6,-0.6,0.9,2021
Damian Lillard,PG,30.0,67.0,2398.0,25.6,0.623,34.6,6.3,0.6,1.3,11.6,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5.0,2021
Terry Rozier,SG,26.0,69.0,2383.0,17.1,0.575,20.0,6.9,1.1,1.8,9.5,24.4,3.3,2.0,5.2,0.105,2.2,-0.5,1.6,2.2,2021
Russell Westbrook,PG,32.0,65.0,2369.0,19.5,0.509,48.6,16.8,0.8,1.7,18.0,30.2,0.5,3.2,3.7,0.075,2.6,1.1,3.7,3.4,2021
Andrew Wiggins,PF,25.0,71.0,2364.0,15.0,0.568,10.9,7.8,2.6,1.3,9.8,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0,2021
Mikal Bridges,SF,24.0,72.0,2348.0,16.4,0.667,8.8,7.5,2.4,1.6,7.3,14.9,5.4,2.6,8.0,0.164,2.4,0.9,3.3,3.1,2021
Nikola Vučević,C,30.0,70.0,2348.0,22.9,0.56,21.3,18.5,1.8,1.3,7.9,29.3,3.3,3.0,6.3,0.129,4.9,0.4,5.3,4.4,2021
Nikola Vučević,C,30.0,44.0,1500.0,23.5,0.565,22.1,17.9,1.7,1.4,8.0,29.9,2.1,1.8,3.9,0.125,5.5,0.4,5.9,3.0,2021
Nikola Vučević,C,30.0,26.0,848.0,21.8,0.55,20.0,19.6,2.1,1.3,7.8,28.2,1.2,1.2,2.4,0.137,3.9,0.5,4.4,1.4,2021
Anthony Edwards,SG,19.0,72.0,2314.0,13.9,0.523,14.6,7.9,1.3,1.7,10.7,27.0,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,2021
Jayson Tatum,SF,22.0,64.0,2290.0,21.3,0.576,20.3,11.5,1.3,1.6,10.4,30.8,4.1,2.5,6.5,0.137,4.2,-0.3,3.9,3.4,2021
Devin Booker,SG,24.0,67.0,2270.0,19.2,0.587,20.6,7.0,0.6,1.2,12.4,32.7,2.9,2.0,4.9,0.104,1.7,-1.4,0.3,1.3,2021
Khris Middleton,SF,29.0,68.0,2269.0,18.2,0.588,23.2,9.4,0.4,1.5,13.1,25.0,4.1,2.2,6.4,0.135,1.7,-0.3,1.3,1.9,2021
Duncan Robinson,SF,26.0,72.0,2262.0,11.0,0.628,8.3,6.3,0.9,0.9,9.7,16.6,1.9,1.8,3.7,0.079,-0.2,-0.8,-1.0,0.6,2021
Luka Dončić,PG,21.0,66.0,2262.0,25.3,0.587,44.1,12.8,1.5,1.4,15.3,36.0,5.1,2.6,7.7,0.163,6.1,0.7,6.8,5.1,2021
Robert Covington,PF,30.0,70.0,2243.0,11.2,0.553,6.8,11.1,3.4,2.2,10.7,11.5,1.4,2.4,3.7,0.08,-1.3,1.5,0.2,1.2,2021
Royce O'Neale,SF,27.0,71.0,2241.0,9.9,0.599,10.4,11.5,1.2,1.2,16.7,9.6,2.3,3.3,5.6,0.121,-1.2,2.1,1.0,1.7,2021
Domantas Sabonis,PF,24.0,62.0,2231.0,20.6,0.601,27.5,18.0,1.2,1.6,16.9,24.1,4.0,3.0,6.9,0.149,2.3,1.6,3.8,3.3,2021
Bojan Bogdanović,SF,31.0,72.0,2216.0,14.0,0.588,9.1,6.7,0.1,1.0,10.9,22.8,2.7,2.5,5.2,0.113,0.2,-0.7,-0.4,0.9,2021
Norman Powell,SG,27.0,69.0,2205.0,16.2,0.618,9.2,5.3,0.8,1.8,10.3,22.6,3.4,1.3,4.7,0.103,1.1,-0.7,0.4,1.3,2021
Norman Powell,SG,27.0,42.0,1277.0,17.7,0.645,10.0,5.4,0.6,1.8,10.8,24.2,2.3,0.9,3.2,0.12,2.2,-0.7,1.5,1.1,2021
Norman Powell,SF,27.0,27.0,928.0,14.2,0.576,8.1,5.1,1.0,1.8,9.5,20.5,1.1,0.4,1.5,0.078,-0.5,-0.7,-1.2,0.2,2021
Chris Paul,PG,35.0,70.0,2199.0,21.4,0.599,40.9,8.0,0.8,2.2,14.0,22.6,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,2021
Rudy Gobert,C,28.0,71.0,2187.0,23.5,0.683,6.0,23.3,7.0,0.9,13.7,17.0,6.1,5.2,11.3,0.248,2.1,2.8,4.9,3.8,2021
Justin Holiday,SG,31.0,72.0,2183.0,10.4,0.571,7.0,6.4,1.5,1.6,7.5,14.0,1.4,1.8,3.1,0.069,-0.9,-0.1,-1.0,0.6,2021
