Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Joel Embiid,C,28.0,66.0,66.0,34.6,33.1,10.2,4.2,1.0,1.7,3.4,0.548,0.33,0.857,2023
Luka Dončić,PG,23.0,66.0,66.0,36.2,32.4,8.6,8.0,1.4,0.5,3.6,0.496,0.342,0.742,2023
Damian Lillard,PG,32.0,58.0,58.0,36.3,32.2,4.8,7.3,0.9,0.3,3.3,0.463,0.371,0.914,2023
Shai Gilgeous-Alexander,PG,24.0,68.0,68.0,35.5,31.4,4.8,5.5,1.6,1.0,2.8,0.51,0.345,0.905,2023
Giannis Antetokounmpo,PF,28.0,63.0,63.0,32.1,31.1,11.8,5.7,0.8,0.8,3.9,0.553,0.275,0.645,2023
Jayson Tatum,SF,24.0,74.0,74.0,36.9,30.1,8.8,4.6,1.1,0.7,2.9,0.466,0.35,0.854,2023
Stephen Curry,PG,34.0,56.0,56.0,34.7,29.4,6.1,6.3,0.9,0.4,3.2,0.493,0.427,0.915,2023
Kevin Durant,PF,34.0,47.0,47.0,35.6,29.1,6.7,5.0,0.7,1.4,3.3,0.56,0.404,0.919,2023
Kevin Durant,PF,34.0,39.0,39.0,36.0,29.7,6.7,5.3,0.8,1.5,3.5,0.559,0.376,0.934,2023
LeBron James,PF,38.0,55.0,54.0,35.5,28.9,8.3,6.8,0.9,0.6,3.2,0.5,0.321,0.768,2023
Donovan Mitchell,SG,26.0,68.0,68.0,35.8,28.3,4.3,4.4,1.5,0.4,2.6,0.484,0.386,0.867,2023
Devin Booker,SG,26.0,53.0,53.0,34.6,27.8,4.5,5.5,1.0,0.3,2.7,0.494,0.351,0.855,2023
Kyrie Irving,SG,30.0,60.0,60.0,37.4,27.1,5.1,5.5,1.1,0.8,2.1,0.494,0.379,0.905,2023
Kyrie Irving,PG,30.0,40.0,40.0,37.0,27.1,5.1,5.3,1.0,0.8,2.3,0.486,0.374,0.883,2023
Kyrie Irving,SG,30.0,20.0,20.0,38.2,27.0,5.0,6.0,1.3,0.6,1.9,0.51,0.392,0.947,2023
Jaylen Brown,SF,26.0,67.0,67.0,35.9,26.6,6.9,3.5,1.1,0.4,2.9,0.491,0.335,0.765,2023
Ja Morant,PG,23.0,61.0,59.0,31.9,26.2,5.9,8.1,1.1,0.3,3.4,0.466,0.307,0.748,2023
Trae Young,PG,24.0,73.0,73.0,34.8,26.2,3.0,10.2,1.1,0.1,4.1,0.429,0.335,0.886,2023
Zion Williamson,PF,22.0,29.0,29.0,33.0,26.0,7.0,4.6,1.1,0.6,3.4,0.608,0.368,0.714,2023
Anthony Davis,C,29.0,56.0,54.0,34.0,25.9,12.5,2.6,1.1,2.0,2.2,0.563,0.257,0.784,2023
Lauri Markkanen,PF,25.0,66.0,66.0,34.4,25.6,8.6,1.9,0.6,0.6,1.9,0.499,0.391,0.875,2023
Julius Randle,PF,28.0,77.0,77.0,35.5,25.1,10.0,4.1,0.6,0.3,2.8,0.459,0.343,0.757,2023
De'Aaron Fox,PG,25.0,73.0,73.0,33.4,25.0,4.2,6.1,1.1,0.3,2.5,0.512,0.324,0.78,2023
Zach LaVine,SG,27.0,77.0,77.0,35.9,24.8,4.5,4.2,0.9,0.2,2.5,0.485,0.375,0.848,2023
Brandon Ingram,SF,25.0,45.0,45.0,34.2,24.7,5.5,5.8,0.7,0.4,3.3,0.484,0.39,0.882,2023
Anthony Edwards,SG,21.0,79.0,79.0,36.0,24.6,5.8,4.4,1.6,0.7,3.3,0.459,0.369,0.756,2023
DeMar DeRozan,SF,33.0,74.0,74.0,36.2,24.5,4.6,5.1,1.1,0.5,2.1,0.504,0.324,0.872,2023
Nikola Jokić,C,27.0,69.0,69.0,33.7,24.5,11.8,9.8,1.3,0.7,3.6,0.632,0.383,0.822,2023
Pascal Siakam,PF,28.0,71.0,71.0,37.4,24.2,7.8,5.8,0.9,0.5,2.4,0.48,0.324,0.774,2023
Jalen Brunson,PG,26.0,68.0,68.0,35.0,24.0,3.5,6.2,0.9,0.2,2.1,0.491,0.416,0.829,2023
Paul George,SF,32.0,56.0,56.0,34.6,23.8,6.1,5.1,1.5,0.4,3.1,0.457,0.371,0.871,2023
Kawhi Leonard,SF,31.0,52.0,50.0,33.6,23.8,6.5,3.9,1.4,0.5,1.7,0.512,0.416,0.871,2023
LaMelo Ball,PG,21.0,36.0,36.0,35.2,23.3,6.4,8.4,1.3,0.3,3.6,0.411,0.376,0.836,2023
Bradley Beal,SG,29.0,50.0,50.0,33.5,23.2,3.9,5.4,0.9,0.7,2.9,0.506,0.365,0.842,2023
Kristaps Porziņģis,C,27.0,65.0,65.0,32.6,23.2,8.4,2.7,0.9,1.5,2.1,0.498,0.385,0.851,2023
Jimmy Butler,PF,33.0,64.0,64.0,33.4,22.9,5.9,5.3,1.8,0.3,1.6,0.539,0.35,0.85,2023
Jalen Green,SG,20.0,76.0,76.0,34.2,22.1,3.7,3.7,0.8,0.2,2.6,0.416,0.338,0.786,2023
Keldon Johnson,SF,23.0,63.0,63.0,32.7,22.0,5.0,2.9,0.7,0.2,2.1,0.452,0.329,0.749,2023
Klay Thompson,SF,32.0,69.0,69.0,33.0,21.9,4.1,2.4,0.7,0.4,1.8,0.436,0.412,0.879,2023
Bojan Bogdanović,PF,33.0,59.0,59.0,32.1,21.6,3.8,2.6,0.6,0.1,2.3,0.488,0.411,0.884,2023
Darius Garland,PG,23.0,69.0,69.0,35.5,21.6,2.7,7.8,1.2,0.1,2.9,0.462,0.41,0.863,2023
Desmond Bane,SG,24.0,58.0,58.0,31.7,21.5,5.0,4.4,1.0,0.4,2.2,0.479,0.408,0.883,2023
Kyle Kuzma,PF,27.0,64.0,64.0,35.0,21.2,7.2,3.7,0.6,0.5,3.0,0.448,0.333,0.73,2023
Terry Rozier,SG,28.0,63.0,63.0,35.3,21.1,4.1,5.1,1.2,0.3,2.1,0.415,0.327,0.809,2023
Anfernee Simons,SG,23.0,62.0,62.0,35.0,21.1,2.6,4.1,0.7,0.2,2.1,0.447,0.377,0.894,2023
James Harden,PG,33.0,58.0,58.0,36.8,21.0,6.1,10.7,1.2,0.5,3.4,0.441,0.385,0.867,2023
CJ McCollum,PG,31.0,75.0,75.0,35.3,20.9,4.4,5.7,0.9,0.5,2.4,0.437,0.389,0.769,2023
